refcode,output,ccdc_molecule_atoms,full_unit_cell_atoms,inclusion
BIRQOL,BIRQOL.cif,34,136,UniqueIncluded
BIRYIM,BIRYIM.cif,24,48,UniqueIncluded
BITVUV,BITVUV.cif,12,48,UniqueIncluded
BIXJAU,BIXJAU.cif,16,64,UniqueIncluded
BIZQEJ,BIZQEJ.cif,31,124,UniqueIncluded
BNORBN11,BNORBN11.cif,36,144,UniqueIncluded
BNZQUI03,BNZQUI03.cif,12,24,UniqueIncluded
BODCOM,BODCOM.cif,18,36,UniqueIncluded
BOMSED,BOMSED.cif,21,84,UniqueIncluded
BONNEA,BONNEA.cif,17,68,UniqueIncluded
BONVOS,BONVOS.cif,20,40,UniqueIncluded
BONWAE,BONWAE.cif,21,84,UniqueIncluded
BOPHUJ,BOPHUJ.cif,18,144,UniqueIncluded
BOQSIJ,BOQSIJ.cif,34,136,UniqueIncluded
BOTYIT,BOTYIT.cif,10,40,UniqueIncluded
BOTZIU,BOTZIU.cif,19,76,UniqueIncluded
BOTZOA,BOTZOA.cif,18,72,UniqueIncluded
BOXQEK,BOXQEK.cif,31,124,UniqueIncluded
BOXRUE,BOXRUE.cif,25,200,UniqueIncluded
BOZFEC,BOZFEC.cif,26,104,UniqueIncluded
BOZGED,BOZGED.cif,17,68,UniqueIncluded
BUCNEU,BUCNEU.cif,25,50,UniqueIncluded
BUDYEF,BUDYEF.cif,22,88,UniqueIncluded
BUPQAE01,BUPQAE01.cif,16,64,UniqueIncluded
BUPXOC,BUPXOC.cif,15,60,UniqueIncluded
BURXAN,BURXAN.cif,24,96,UniqueIncluded
BUTFUT,BUTFUT.cif,25,100,UniqueIncluded
BUTSUL10,BUTSUL10.cif,15,56,UniqueIncluded
BZDMAZ02,BZDMAZ02.cif,15,60,UniqueIncluded
BZOXZT,BZOXZT.cif,15,30,UniqueIncluded
BZPHAN01,BZPHAN01.cif,30,120,UniqueIncluded
BZTIEP,BZTIEP.cif,21,84,UniqueIncluded
BZTZAD,BZTZAD.cif,20,80,UniqueIncluded
CABPYR11,CABPYR11.cif,15,60,UniqueIncluded
CABYAG,CABYAG.cif,17,68,UniqueIncluded
CACDOA,CACDOA.cif,20,80,UniqueIncluded
CACTAD,CACTAD.cif,29,116,UniqueIncluded
CAFKEZ,CAFKEZ.cif,26,104,UniqueIncluded
CAFVAG,CAFVAG.cif,16,64,UniqueIncluded
CAGJEC01,CAGJEC01.cif,14,56,UniqueIncluded
CAJWUG02,CAJWUG02.cif,16,64,UniqueIncluded
CAMPQU03,CAMPQU03.cif,26,104,UniqueIncluded
CANAPQ01,CANAPQ01.cif,20,160,UniqueIncluded
CANNUA,CANNUA.cif,17,34,UniqueIncluded
CANRAM,CANRAM.cif,30,60,UniqueIncluded
CANVAP,CANVAP.cif,25,100,UniqueIncluded
CAPMSU,CAPMSU.cif,20,80,UniqueIncluded
CASHOT03,CASHOT03.cif,11,22,UniqueIncluded
CATXEC,CATXEC.cif,23,46,UniqueIncluded
CAXNUL01,CAXNUL01.cif,18,72,UniqueIncluded
CAXPAT,CAXPAT.cif,17,34,UniqueIncluded
CAXPUN,CAXPUN.cif,17,34,UniqueIncluded
CBITAZ,CBITAZ.cif,14,56,UniqueIncluded
CDCDOX,CDCDOX.cif,14,56,UniqueIncluded
CEBBIX,CEBBIX.cif,18,36,UniqueIncluded
CEBDES,CEBDES.cif,13,52,UniqueIncluded
CEBZIU,CEBZIU.cif,30,120,UniqueIncluded
CECMOM,CECMOM.cif,16,32,UniqueIncluded
CEFMUX,CEFMUX.cif,22,88,UniqueIncluded
CEGPOV,CEGPOV.cif,20,80,UniqueIncluded
CEHQEM,CEHQEM.cif,12,24,UniqueIncluded
CEJMAF,CEJMAF.cif,16,64,UniqueIncluded
CEKGUU01,CEKGUU01.cif,13,26,UniqueIncluded
CELDUS,CELDUS.cif,30,120,UniqueIncluded
CETLAQ,CETLAQ.cif,16,64,UniqueIncluded
CEXVAF,CEXVAF.cif,22,88,UniqueIncluded
CHPDTP,CHPDTP.cif,20,80,UniqueIncluded
CHPYRD,CHPYRD.cif,12,48,UniqueIncluded
CHTDZO,CHTDZO.cif,14,56,UniqueIncluded
CHXIQL,CHXIQL.cif,18,72,UniqueIncluded
CICVEQ,CICVEQ.cif,21,84,UniqueIncluded
CIGYIA,CIGYIA.cif,10,80,UniqueIncluded
CIJNEO,CIJNEO.cif,31,62,UniqueIncluded
CIKBOO,CIKBOO.cif,34,136,UniqueIncluded
CIKBUU,CIKBUU.cif,72,72,UniqueIncluded
CIMHUB,CIMHUB.cif,38,76,UniqueIncluded
CIPWOO,CIPWOO.cif,19,38,UniqueIncluded
CIPZIL,CIPZIL.cif,18,36,UniqueIncluded
CIRXAF,CIRXAF.cif,24,96,UniqueIncluded
CIWBAL10,CIWBAL10.cif,15,60,UniqueIncluded
CIYNED01,CIYNED01.cif,20,80,UniqueIncluded
CLACET02,CLACET02.cif,8,32,UniqueIncluded
CLANAC11,CLANAC11.cif,14,28,UniqueIncluded
CLAZBZ02,CLAZBZ02.cif,24,48,UniqueIncluded
CLBECN03,CLBECN03.cif,13,52,UniqueIncluded
CLBENQ,CLBENQ.cif,12,48,UniqueIncluded
CLBZAC01,CLBZAC01.cif,15,120,UniqueIncluded
CLCROT10,CLCROT10.cif,12,36,UniqueIncluded
CLFORM03,CLFORM03.cif,5,20,UniqueIncluded
CLFULV01,CLFULV01.cif,18,72,UniqueIncluded
CLMETH03,CLMETH03.cif,5,20,UniqueIncluded
CLPSUL02,CLPSUL02.cif,25,100,UniqueIncluded
CLTRZL,CLTRZL.cif,8,32,UniqueIncluded
COBFUU,COBFUU.cif,21,42,UniqueIncluded
COHSAV,COHSAV.cif,24,96,UniqueIncluded
COLGAO,COLGAO.cif,25,50,UniqueIncluded
COMFRN,COMFRN.cif,17,68,UniqueIncluded
CONFAM,CONFAM.cif,10,40,UniqueIncluded
CONVIL01,CONVIL01.cif,15,60,UniqueIncluded
CORDUI,CORDUI.cif,11,22,UniqueIncluded
CORYOZ,CORYOZ.cif,16,64,UniqueIncluded
CORZIT,CORZIT.cif,22,44,UniqueIncluded
COSNAZ,COSNAZ.cif,22,88,UniqueIncluded
COTFEX,COTFEX.cif,26,52,UniqueIncluded
COUMAR01,COUMAR01.cif,17,68,UniqueIncluded
COUMAR13,COUMAR13.cif,17,34,UniqueIncluded
COUMAR14,COUMAR14.cif,34,136,UniqueIncluded
COVJIG,COVJIG.cif,15,60,UniqueIncluded
COWTIT,COWTIT.cif,21,84,UniqueIncluded
COXGAX,COXGAX.cif,20,80,UniqueIncluded
COXKAE,COXKAE.cif,34,272,UniqueIncluded
COZXAT,COZXAT.cif,28,56,UniqueIncluded
CRYSEN,CRYSEN.cif,30,120,UniqueIncluded
CTCDEC,CTCDEC.cif,25,100,UniqueIncluded
CTHDZO,CTHDZO.cif,9,36,UniqueIncluded
CTHETO,CTHETO.cif,12,48,UniqueIncluded
CUBANE,CUBANE.cif,16,16,UniqueIncluded
CUBTEB,CUBTEB.cif,29,232,UniqueIncluded
CUGCUF,CUGCUF.cif,30,120,UniqueIncluded
CUKCIU03,CUKCIU03.cif,14,28,UniqueIncluded
CUVWEV,CUVWEV.cif,19,76,UniqueIncluded
CUXXAW,CUXXAW.cif,26,104,UniqueIncluded
CUZXOK,CUZXOK.cif,20,80,UniqueIncluded
CYACAC02,CYACAC02.cif,9,36,UniqueIncluded
CYCYPR,CYCYPR.cif,12,72,UniqueIncluded
CYHEXO,CYHEXO.cif,16,32,UniqueIncluded
CYTCOD10,CYTCOD10.cif,17,68,UniqueIncluded
DACXIQ,DACXIQ.cif,30,120,UniqueIncluded
DAHXAO,DAHXAO.cif,28,112,UniqueIncluded
DAMTRZ11,DAMTRZ11.cif,12,48,UniqueIncluded
DAQNEP,DAQNEP.cif,20,80,UniqueIncluded
DASKAK01,DASKAK01.cif,25,100,UniqueIncluded
DASWOM,DASWOM.cif,23,46,UniqueIncluded
DATLAN,DATLAN.cif,11,22,UniqueIncluded
DATLER,DATLER.cif,11,22,UniqueIncluded
DAYFIV,DAYFIV.cif,13,52,UniqueIncluded
DAZNAP,DAZNAP.cif,16,128,UniqueIncluded
DAZNAQ,DAZNAQ.cif,16,64,UniqueIncluded
DAZNAR,DAZNAR.cif,16,128,UniqueIncluded
DBTHPS04,DBTHPS04.cif,23,92,UniqueIncluded
DCDHNQ,DCDHNQ.cif,20,80,UniqueIncluded
DCDHNQ01,DCDHNQ01.cif,20,80,UniqueIncluded
DCLANT10,DCLANT10.cif,24,96,UniqueIncluded
DCLBQN,DCLBQN.cif,12,48,UniqueIncluded
DCLETH02,DCLETH02.cif,8,16,UniqueIncluded
DCPYAZ,DCPYAZ.cif,10,40,UniqueIncluded
DECPYR10,DECPYR10.cif,26,104,UniqueIncluded
DECZEQ,DECZEQ.cif,21,84,UniqueIncluded
DEGWAQ,DEGWAQ.cif,22,88,UniqueIncluded
DERBEH,DERBEH.cif,16,64,UniqueIncluded
DEWYOV,DEWYOV.cif,28,224,UniqueIncluded
DEXBEN01,DEXBEN01.cif,26,52,UniqueIncluded
DFNAPQ,DFNAPQ.cif,18,36,UniqueIncluded
DFPSLO,DFPSLO.cif,25,100,UniqueIncluded
DIMNAP,DIMNAP.cif,24,96,UniqueIncluded
DIMYON10,DIMYON10.cif,13,26,UniqueIncluded
DIRMIA,DIRMIA.cif,11,22,UniqueIncluded
DITFIX,DITFIX.cif,38,152,UniqueIncluded
DITHAN02,DITHAN02.cif,14,28,UniqueIncluded
DIZVOZ,DIZVOZ.cif,18,36,UniqueIncluded
DMCTDZ,DMCTDZ.cif,9,36,UniqueIncluded
DMDZCD,DMDZCD.cif,32,64,UniqueIncluded
DMEGLY01,DMEGLY01.cif,16,16,UniqueIncluded
DMETSO,DMETSO.cif,10,40,UniqueIncluded
DMETSO05,DMETSO05.cif,10,20,UniqueIncluded
DMITDZ,DMITDZ.cif,17,68,UniqueIncluded
DMSULO04,DMSULO04.cif,11,44,UniqueIncluded
DNBENZ11,DNBENZ11.cif,16,64,UniqueIncluded
DOHGOW,DOHGOW.cif,12,48,UniqueIncluded
DOJFAL,DOJFAL.cif,20,80,UniqueIncluded
DOKVIJ,DOKVIJ.cif,20,80,UniqueIncluded
DOKWUW,DOKWUW.cif,16,64,UniqueIncluded
DOQQEH,DOQQEH.cif,14,112,UniqueIncluded
DOSZUG,DOSZUG.cif,15,60,UniqueIncluded
DOXDIS10,DOXDIS10.cif,8,32,UniqueIncluded
DOXJAD,DOXJAD.cif,20,80,UniqueIncluded
DSCARA01,DSCARA01.cif,14,28,UniqueIncluded
DTENYL02,DTENYL02.cif,16,32,UniqueIncluded
DUBPUO,DUBPUO.cif,32,128,UniqueIncluded
DUCSUQ,DUCSUQ.cif,11,44,UniqueIncluded
DUCTAZ,DUCTAZ.cif,23,92,UniqueIncluded
DUJGIZ,DUJGIZ.cif,14,56,UniqueIncluded
DUJHEV,DUJHEV.cif,18,72,UniqueIncluded
DUJQEF,DUJQEF.cif,11,44,UniqueIncluded
DUTREQ,DUTREQ.cif,15,60,UniqueIncluded
DUTZEY,DUTZEY.cif,13,26,UniqueIncluded
EDOMUI,EDOMUI.cif,21,42,UniqueIncluded
EGIRUJ,EGIRUJ.cif,22,88,UniqueIncluded
ELOBOW,ELOBOW.cif,28,112,UniqueIncluded
ELULIH,ELULIH.cif,22,176,UniqueIncluded
EPAHEJ,EPAHEJ.cif,14,56,UniqueIncluded
EQIREE,EQIREE.cif,23,92,UniqueIncluded
EREFEP,EREFEP.cif,12,48,UniqueIncluded
ETIFAP,ETIFAP.cif,52,104,UniqueIncluded
EVIGIZ,EVIGIZ.cif,19,76,UniqueIncluded
EVOQEL,EVOQEL.cif,15,60,UniqueIncluded
EWAZEK,EWAZEK.cif,17,34,UniqueIncluded
EWUZAZ,EWUZAZ.cif,13,52,UniqueIncluded
EXIQOS,EXIQOS.cif,14,56,UniqueIncluded
EYAVEF,EYAVEF.cif,26,104,UniqueIncluded
FABPON11,FABPON11.cif,18,144,UniqueIncluded
FACETC01,FACETC01.cif,8,32,UniqueIncluded
FACFOE,FACFOE.cif,12,48,UniqueIncluded
FADBEU,FADBEU.cif,25,100,UniqueIncluded
FANJOT,FANJOT.cif,16,64,UniqueIncluded
FANJOT01,FANJOT01.cif,16,64,UniqueIncluded
FARMIW,FARMIW.cif,15,60,UniqueIncluded
FAVTAX,FAVTAX.cif,22,88,UniqueIncluded
FBUOFB,FBUOFB.cif,10,20,UniqueIncluded
FEBROU,FEBROU.cif,27,108,UniqueIncluded
FEDKIJ,FEDKIJ.cif,19,76,UniqueIncluded
FELPIV,FELPIV.cif,10,40,UniqueIncluded
FEMKUD,FEMKUD.cif,19,76,UniqueIncluded
FEQYAC,FEQYAC.cif,19,38,UniqueIncluded
FERFOZ,FERFOZ.cif,14,28,UniqueIncluded
FICFON,FICFON.cif,24,192,UniqueIncluded
FIQTIJ,FIQTIJ.cif,19,76,UniqueIncluded
FIRLAU,FIRLAU.cif,10,80,UniqueIncluded
FITZEO01,FITZEO01.cif,26,104,UniqueIncluded
FIWFOH01,FIWFOH01.cif,19,76,UniqueIncluded
FLUANA,FLUANA.cif,14,28,UniqueIncluded
FOCJOZ,FOCJOZ.cif,25,50,UniqueIncluded
FOHXUV,FOHXUV.cif,10,40,UniqueIncluded
FOMWAF,FOMWAF.cif,13,52,UniqueIncluded
FOQJIH,FOQJIH.cif,27,108,UniqueIncluded
FORAMO01,FORAMO01.cif,8,32,UniqueIncluded
FORMAC02,FORMAC02.cif,5,20,UniqueIncluded
FORROU,FORROU.cif,14,56,UniqueIncluded
FOXWEW,FOXWEW.cif,23,92,UniqueIncluded
FUDTUV,FUDTUV.cif,21,84,UniqueIncluded
FULPIM,FULPIM.cif,12,48,UniqueIncluded
FUMRAM01,FUMRAM01.cif,13,26,UniqueIncluded
FUNFEA,FUNFEA.cif,17,68,UniqueIncluded
FURANE10,FURANE10.cif,9,36,UniqueIncluded
FURDCB01,FURDCB01.cif,15,60,UniqueIncluded
FUZNAQ,FUZNAQ.cif,17,68,UniqueIncluded
FUZZAB,FUZZAB.cif,16,64,UniqueIncluded
GADHAU,GADHAU.cif,9,36,UniqueIncluded
GANBEF,GANBEF.cif,23,184,UniqueIncluded
GAPPIY,GAPPIY.cif,12,48,UniqueIncluded
GAXKAU,GAXKAU.cif,26,52,UniqueIncluded
GEHSIW,GEHSIW.cif,19,76,UniqueIncluded
GEMRIB,GEMRIB.cif,22,176,UniqueIncluded
GETVEH,GETVEH.cif,11,44,UniqueIncluded
GEYSEI,GEYSEI.cif,18,72,UniqueIncluded
GIJBUX,GIJBUX.cif,19,76,UniqueIncluded
GIKSUQ,GIKSUQ.cif,20,80,UniqueIncluded
GISXEM,GISXEM.cif,16,64,UniqueIncluded
GISZIS,GISZIS.cif,15,60,UniqueIncluded
GOCPEW,GOCPEW.cif,24,96,UniqueIncluded
GOFQEY,GOFQEY.cif,12,48,UniqueIncluded
GOLCOB,GOLCOB.cif,19,76,UniqueIncluded
GOLYAI,GOLYAI.cif,16,64,UniqueIncluded
GOMCIU,GOMCIU.cif,19,76,UniqueIncluded
GOQJUU,GOQJUU.cif,20,80,UniqueIncluded
GOSJEG,GOSJEG.cif,22,88,UniqueIncluded
GOTJUW,GOTJUW.cif,15,60,UniqueIncluded
GOWPUG,GOWPUG.cif,26,104,UniqueIncluded
GOZXIF,GOZXIF.cif,18,72,UniqueIncluded
GUFJAS,GUFJAS.cif,13,52,UniqueIncluded
GUFJIA,GUFJIA.cif,18,36,UniqueIncluded
GUFMAV,GUFMAV.cif,14,28,UniqueIncluded
GUJLAZ,GUJLAZ.cif,15,60,UniqueIncluded
GUJZER,GUJZER.cif,17,68,UniqueIncluded
GULDIB,GULDIB.cif,30,120,UniqueIncluded
GUMFUS,GUMFUS.cif,36,72,UniqueIncluded
GUNYIY,GUNYIY.cif,25,100,UniqueIncluded
GUZKAQ,GUZKAQ.cif,20,80,UniqueIncluded
HABVIQ,HABVIQ.cif,27,108,UniqueIncluded
HACMUT,HACMUT.cif,14,56,UniqueIncluded
HAKPIW,HAKPIW.cif,25,100,UniqueIncluded
