refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
IMAZOL06,ok,,36,9,9,36,P 2_1/c,81,1,0,1.72701359386e-15,0,4.20163903669e-16
INIGEU,ok,,64,16,16,64,P 2_1/c,81,1,0,1.49880108324e-15,0,4.21451762378e-16
IPAPEV,ok,,72,18,18,72,P 2_1/c,81,1,0,2.61519201356e-15,0,3.15463201843e-15
IPRNSO01,ok,,32,16,12,32,P 2_1/m,60,1,5.55111512313e-16,1.7763568394e-15,0,7.44848627221e-16
IPUNEN,ok,,48,12,12,48,P 2_1/c,81,1,0,1.62832710278e-15,0,1.44859124696e-16
IPUVIA,ok,,30,15,15,30,P -1,2,0,0,2.30926389122e-15,0,1.78997012253e-15
ISNICA02,ok,,28,14,14,28,P -1,2,0,0,1.71291552371e-15,0,8.04067923355e-16
ITOBAU,ok,,68,17,17,68,P 2_1/c,81,1,1.51512789243e-15,1.82860262879e-15,0,9.65771906891e-16
IYIXUJ,ok,,92,23,23,92,P 2_1/c,81,1,1.73774038637e-15,1.85358974546e-15,0,4.23538981664e-16
IYIYAQ,ok,,80,20,20,80,P 2_1/c,81,1,1.59872115546e-15,1.99840144433e-15,0,4.92716978329e-16
JARDIQ,ok,,44,11,11,44,P 2_1/c,81,1,0,2.2608177956e-15,0,6.32394137057e-16
JEFTEU,ok,,72,18,17,72,P nma,292,3,1.57898385724e-15,1.82570008494e-15,0,0
JEGTUN,ok,,72,18,18,72,P 2_1/c,81,1,0,2.02307306709e-15,0,8.14537326477e-16
JEHYIF,ok,,24,12,12,24,P 2_1,6,1,0,2.6645352591e-15,0,1.22985637924e-15
JEVVEM,ok,,64,16,16,64,P 2_1/c,81,1,0,2.69229083472e-15,0,2.85123036292e-15
JEWBAP,ok,,92,23,23,92,P 2_1/c,81,1,0,2.54868590001e-15,0,1.7904956932e-15
JIHNOG,ok,,68,17,17,68,P 2_1/c,81,1,0,1.93309420758e-15,0,7.93920484909e-16
JIWWUK,ok,,60,15,15,60,P 2_12_12_1,115,3,9.47390314347e-16,1.48029736617e-15,0,0
JIYYAT,ok,,84,21,21,84,P 2_1/c,81,1,1.7763568394e-15,1.98782789171e-15,0,1.64002145198e-15
JOSLOU,ok,,50,25,25,50,P 2_1,6,1,0,1.63424829225e-15,0,4.38371561273e-16
JUBBIR,ok,,96,24,12,96,C 2/c,90,1,1.70234197109e-15,1.70234197109e-15,0,1.12954090525e-15
JUJPEL,ok,,104,13,13,104,P bcn,284,3,0,1.7080354225e-15,0,0
KABJED,ok,,76,19,19,76,P 2_1/c,81,1,1.72961060678e-15,2.01008800248e-15,0,6.23390228327e-16
KADCIC,ok,,92,23,23,92,P 2_1/c,81,1,1.7763568394e-15,2.35560363486e-15,0,1.44306788741e-15
KIMNAV,ok,,44,11,11,44,P 2_1/c,81,1,0,2.3415612883e-15,0,6.60249632745e-16
KONJIG,ok,,68,17,17,68,P 2_1/c,81,1,0,2.03758578637e-15,0,1.43662859386e-15
KONJUS,ok,,68,17,17,68,P 2_1/c,81,1,0,1.71104960266e-15,0,4.49057457885e-16
KONKAZ,ok,,68,17,17,68,P 2_1/c,81,1,0,1.88084841819e-15,0,3.07309733216e-16
KOZXIJ,ok,,136,34,34,136,P 2_1/c,81,1,0,2.06370868107e-15,0,1.13198339591e-15
KUFVAI03,ok,,80,20,20,80,P 2_12_12_1,115,3,1.64313007645e-15,1.86517468137e-15,0,0
KUGKIJ,ok,,144,36,36,144,P 2_1/c,81,1,0,1.97372982156e-15,0,1.68072222806e-15
KUSJAL,ok,,112,14,14,112,P 4_2/n,361,3,1.71291552371e-15,1.90323947079e-15,0,0
KUSQOG,ok,,160,20,20,160,P bca,290,3,1.82076576039e-15,1.99840144433e-15,0,0
KUXPUP,ok,,60,15,15,60,P 2_1/c,81,1,0,1.36187357687e-15,0,4.22328838567e-16
KUXPUP01,ok,,60,15,15,60,P na2_1,164,3,0,1.56911520814e-15,0,0
LAPLAR01,ok,,64,16,16,64,P 2_1/c,81,1,0,1.83186799063e-15,0,4.24738022531e-16
LEJDAH,ok,,88,22,22,88,P 2_12_12_1,115,3,1.49375461495e-15,1.9378438248e-15,0,0
LEJDEL,ok,,88,22,22,88,P 2_12_12_1,115,3,0,1.8571003321e-15,0,0
LELVIK,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
LEVMUU,ok,,60,15,15,60,P 2_1/c,81,1,0,2.96059473233e-15,0,3.55493412485e-15
LIDGAH,ok,,54,18,18,54,P 3_2,432,2,6.52728458937e-09,1.52964061171e-15,1.43427902217e-08,0
LIDGEL,ok,,54,18,18,54,P 3_2,432,2,8.48159073838e-09,1.52964061171e-15,1.6334670802e-08,0
LINRUV,ok,,48,24,24,48,P -1,2,0,0,2.46099437125e-15,0,1.645236747e-15
LIQJUS,ok,,60,15,15,60,P 2_12_12_1,115,3,1.36187357687e-15,1.65793305011e-15,0,0
LIQWEN,ok,,48,12,12,48,P 2_1/c,81,1,1.25825276124e-15,1.48029736617e-15,0,5.84154946637e-16
LIWFUT,ok,,76,19,19,76,P ca2_1,143,3,1.58937190894e-15,1.96334176986e-15,0,0
LOJCOD,ok,,96,24,24,96,P 2_1/c,81,1,0,1.59131966863e-15,0,2.648714581e-16
LOMWOZ,ok,,76,19,19,76,P 2_1/c,81,1,0,2.43080409602e-15,0,1.61781699148e-15
LOTFAE,ok,,200,25,25,200,P bca,290,3,1.40332190313e-15,1.91846538655e-15,0,0
LUZXUA,ok,,56,28,28,56,P -1,2,0,0,1.7763568394e-15,0,7.83928477688e-16
MAJJOX,ok,,34,17,17,34,P -1,2,0,0,2.22044604925e-15,0,1.65261138108e-15
MAKQIZ,ok,,48,24,24,48,P -1,2,0,0,2.62752782495e-15,0,1.49613654798e-15
MALEHY01,ok,,48,12,12,48,P 2_1/c,81,1,0,1.40628249786e-15,0,3.82527343135e-16
MALEHY11,ok,,24,12,12,24,P -1,2,0,0,1.85037170771e-15,0,1.29187771591e-15
MALEHY14,ok,,48,12,12,48,P 2_1/c,81,1,0,2.07241631263e-15,0,7.25491932155e-16
MALIAC12,ok,,48,12,12,48,P 2_1/c,81,1,0,2.03540887848e-15,0,1.41389804105e-15
MALIAC13,ok,,24,12,12,24,P c,21,1,0,2.59052039079e-15,0,9.55370719804e-16
MCBENZ,ok,,96,12,12,96,P bcn,284,3,1.92438657602e-15,2.07241631263e-15,0,0
MECHLF12,ok,,32,8,6,32,P nma,292,3,1.33226762955e-15,1.7763568394e-15,0,0
MEKMOF,ok,,80,20,20,80,P 2_1/c,81,1,0,2.48689957516e-15,0,9.22151244254e-16
MELAMI06,ok,,60,15,15,60,P 2_1/c,81,1,0,1.56911520814e-15,0,5.79147840796e-16
METHOL04,ok,,24,6,6,24,P 2_12_12_1,115,3,8.881784197e-16,1.40628249786e-15,0,0
MEWZIZ,ok,,96,12,12,96,P bca,290,3,1.55431223448e-15,1.99840144433e-15,0,0
MEYCEY,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
MEYCIC,ok,,88,11,11,88,P bca,290,3,1.7763568394e-15,2.0185873175e-15,0,0
MEYNAF,ok,,32,16,16,32,P 2_1,6,1,0,1.22124532709e-15,0,1.04684663715e-16
MIFSID,ok,,88,22,22,88,P 2_1/c,81,1,1.614869854e-15,2.13970255655e-15,0,1.26332277972e-15
MINSUZ01,ok,,28,14,7,28,P 2_1/c,81,1,1.14194368247e-15,1.64947420801e-15,0,0
MOCVEF,ok,,80,20,20,80,P 2_1/c,81,1,1.73194791842e-15,2.26485497024e-15,0,9.31543731042e-16
MONPEM,ok,,56,14,14,56,P 2_12_12_1,115,3,1.26882631386e-15,1.58603289232e-15,0,0
MOVJAL,ok,,80,20,20,80,P 2_1/c,81,1,0,2.30926389122e-15,0,9.96269733378e-16
MOWDAG,ok,,96,24,24,96,P 2_1/c,81,1,0,2.70154269325e-15,0,3.13216119707e-15
MOWDIO,ok,,44,22,22,44,P -1,2,0,0,2.5837917664e-15,0,1.87235349516e-15
MPYDCY,ok,,28,14,14,28,P -1,2,0,0,2.15700473356e-15,0,2.05169214951e-15
MUCHUP,ok,,52,13,7,52,C 2/c,90,1,1.5030711718e-15,2.732856676e-15,0,1.43155487464e-15
MUMSET,ok,,44,11,11,44,P 2_1/c,81,1,0,1.7763568394e-15,0,5.86969362004e-16
NAFCUV,ok,,96,12,12,96,P bca,290,3,1.85037170771e-15,2.07241631263e-15,0,0
NAFDAC,ok,,48,12,12,48,P 2_1/c,81,1,0,1.62832710278e-15,0,2.8044233602e-16
NAPHTA31,ok,,36,18,9,36,P 2_1/c,81,1,1.03620815632e-15,2.36847578587e-15,0,9.58344514856e-16
NAPOAC01,ok,,84,21,21,84,P 2_1/c,81,1,0,3.97565578342e-15,0,6.88950572806e-15
NAPTYR11,ok,,64,16,16,64,P 2_1/c,81,1,0,1.44328993201e-15,0,5.10841369206e-16
NEFMIW,ok,,84,21,21,84,P 2_1/c,81,1,0,2.19929894402e-15,0,2.37110331369e-15
NIFKIW,ok,,52,13,13,52,P 2_1/c,81,1,0,1.366428338e-15,0,0
NMALAM01,ok,,60,15,15,60,P 2_12_12_1,115,3,9.47390314347e-16,1.30266168223e-15,0,4.93038065763e-32
NOCMEX,ok,,84,21,21,84,P 2_1/c,81,1,1.7763568394e-15,2.49535841725e-15,0,5.11031727246e-15
NOSNOY,ok,,100,25,25,100,P 2_12_12,112,3,0,1.81188397619e-15,0,0
NOTYAZ,ok,,92,23,23,92,P 2_1/c,81,1,0,1.96943910455e-15,0,2.21010709733e-16
NOVSUP,ok,,66,33,33,66,P -1,2,0,0,2.52996277127e-15,0,2.2854189687e-15
NPDTOL02,ok,,120,60,30,120,P 2_1/c,81,1,1.50990331349e-15,2.0872192863e-15,0,3.95639103891e-15
NUQGUD,ok,,76,19,19,76,P 2_1/c,81,1,0,1.82310307202e-15,0,6.41398045786e-16
OCAPUE,ok,,44,11,11,44,P 2_1/c,81,1,1.7763568394e-15,2.6645352591e-15,0,1.11072854618e-15
OCTANE10,ok,,26,26,13,26,P -1,2,0,0,1.4347497549e-15,0,1.02449446827e-15
ODUSEM,ok,,72,18,18,72,P 2_1/c,81,1,0,2.36847578587e-15,0,1.29967199573e-15
OLUCUT,ok,,60,15,15,60,P 2_1/c,81,1,1.12502599829e-15,1.42108547152e-15,0,5.95401505876e-16
OPAJIA,ok,,96,24,24,96,P 2_1/c,81,1,0,2.29446091756e-15,0,1.59949831158e-15
OVUKAS,ok,,108,27,27,108,P 2_1/c,81,1,0,2.7961172472e-15,0,3.22707944239e-15
PADQAN,ok,,18,9,9,18,P -1,2,0,0,2.36847578587e-15,0,1.29740662658e-15
PAHPEV,ok,,48,24,24,48,P -1,2,0,0,2.57201667371e-15,0,1.63116187224e-15
PAWZAQ,ok,,96,24,24,96,P 2_1/c,81,1,0,2.1834386151e-15,0,1.12807541086e-15
PECBII,ok,,72,18,9,72,C 2/c,90,1,1.7763568394e-15,2.96059473233e-15,0,2.46094407517e-15
PENTAN01,ok,,68,17,9,68,P bcn,284,3,1.72411105001e-15,1.88084841819e-15,0,4.93038065763e-32
PERLEN06,ok,,64,32,16,64,P 2_1/c,81,1,9.99200722163e-16,1.55431223448e-15,0,5.41955369471e-16
PFBZAC,ok,,30,15,15,30,P -1,2,0,0,2.36847578587e-15,0,8.96075971089e-16
PHENAN08,ok,,48,24,24,48,P 2_1,6,1,0,1.94289029309e-15,0,4.68569627543e-16
PHENAZ04,ok,,44,22,11,44,P 2_1/c,81,1,1.6956133467e-15,1.9378438248e-15,0,1.96592742085e-16
PHESAZ08,ok,,92,23,13,92,P nma,292,3,1.46742521516e-15,1.62189102728e-15,0,0
PIRPEL,ok,,72,18,18,72,P 2_12_12_1,115,3,0,1.97372982156e-15,0,0
PIWXEY,ok,,44,22,11,44,P 2_12_12,112,3,0,1.5341263613e-15,0,0
PNCLBZ,ok,,48,12,12,48,P ca2_1,143,3,1.7763568394e-15,1.99840144433e-15,0,0
POTLEP,ok,,64,16,16,64,P 2_1/c,81,1,9.99200722163e-16,1.94289029309e-15,0,1.21408969928e-15
POZYUB02,ok,,76,19,19,76,P 2_1/c,81,1,0,1.84647618832e-15,0,0
POZYUB04,ok,,76,19,19,76,P 2_1/c,81,1,0,2.0568342351e-15,0,4.25548485339e-16
PRMDIN01,ok,,40,10,10,40,P na2_1,164,3,1.7763568394e-15,1.7763568394e-15,0,0
PTOXEC,ok,,80,20,11,80,P bcn,284,3,1.7763568394e-15,2.04281036531e-15,0,4.93038065763e-32
PUHBIG,ok,,160,40,40,160,P 2_12_12_1,115,3,1.66533453694e-15,1.93178806285e-15,0,0
PURINE,ok,,52,13,13,52,P na2_1,164,3,1.2297855042e-15,1.5030711718e-15,0,0
PYRAZI01,ok,,20,10,3,20,P nnm,275,3,1.7763568394e-15,1.42108547152e-15,0,0
PYRDNA07,ok,,44,11,11,44,P 2_12_12_1,115,3,1.0496654051e-15,1.65524160035e-15,0,0
PYRENE03,ok,,104,26,26,104,P 2_1/c,81,1,0,2.40832994573e-15,0,1.0873680896e-15
QEKXOT,ok,,40,10,5,40,P bca,290,3,1.59872115546e-15,2.30926389122e-15,0,0
QEKXUZ,ok,,52,13,13,52,P 2_12_12_1,115,3,0,1.5713925887e-15,0,0
QEKYAG,ok,,16,16,8,16,P -1,2,0,0,2.10942374679e-15,0,1.66251843097e-15
QEKYEK,ok,,38,19,10,38,P 2/c,72,1,0,1.86984930463e-15,0,4.48807657705e-16
QIBRAU,ok,,100,25,25,100,P 2_1/c,81,1,1.59872115546e-15,2.0605739337e-15,0,1.4698242623e-15
QICVAZ01,ok,,88,22,22,88,P 2_1/c,81,1,0,2.3415612883e-15,0,1.55453427908e-15
QOFGAV,ok,,108,27,27,108,P 2_1/c,81,1,0,2.20399830074e-15,0,1.27629400684e-15
QORPAR,ok,,72,18,18,72,P 2_12_12_1,115,3,1.52964061171e-15,1.80102846217e-15,0,0
QOTDEL,ok,,92,23,23,92,P 2_1/c,81,1,0,2.12390491667e-15,0,2.65234514278e-15
QUCGAZ,ok,,96,24,24,96,P 2_1/c,81,1,0,1.99840144433e-15,0,0
QUZTAH,ok,,44,22,22,44,P -1,2,0,0,2.5837917664e-15,0,1.23815158221e-15
RAGPEX,ok,,136,17,17,136,C 2/c,90,1,1.67186526061e-15,2.58616657501e-15,0,2.83844059368e-15
RAGPEX01,ok,,68,17,17,68,P 2_1/c,81,1,0,1.85472552349e-15,0,4.17355039417e-16
RAGQIC,ok,,152,19,19,152,C 2/c,90,1,1.91659553725e-15,2.19707293294e-15,0,8.45268299798e-16
REZBIJ,ok,,72,18,18,72,P 2_1/c,81,1,0,1.92438657602e-15,0,1.72978298352e-16
REZDUY,ok,,60,15,15,60,C c,39,1,1.30266168223e-15,2.07241631263e-15,0,2.90902857358e-15
RIQKAE,ok,,88,22,22,88,P ca2_1,143,3,0,1.97821557115e-15,0,0
RIVDOQ,ok,,32,8,6,32,P nma,292,3,1.33226762955e-15,1.88737914186e-15,0,0
RONVAR01,ok,,64,16,16,64,P 2_1/c,81,1,0,1.44328993201e-15,0,4.136413434e-16
RONVEV,ok,,64,16,16,64,P 2_1/c,81,1,0,1.83186799063e-15,0,4.52954496051e-16
SAFGIP,ok,,28,14,14,28,P -1,2,0,0,2.91830052187e-15,0,2.25731455444e-15
SALMID04,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
SALMID07,ok,,68,17,17,68,P 2_12_12_1,115,3,1.61961947122e-15,1.82860262879e-15,0,0
SAZZUO,ok,,48,12,12,48,P 2_1/c,81,1,0,1.85037170771e-15,0,4.90218976523e-16
SEPNUX,ok,,60,15,15,60,P 2_1/c,81,1,0,1.95399252334e-15,0,4.35045727324e-16
SOBPAB,ok,,96,24,24,96,P 2_1/c,81,1,0,1.68383825401e-15,0,4.55396831356e-16
SUCACB03,ok,,28,14,7,28,P 2_1/c,81,1,1.14194368247e-15,1.52259157663e-15,0,6.06625860655e-16
SUCANH12,ok,,44,11,11,44,P 2_12_12_1,115,3,0,2.0993308102e-15,0,0
SUDYOI,ok,,88,22,22,88,P 2_1/c,81,1,0,2.22044604925e-15,0,7.14911463362e-16
SUFKUC,ok,,96,24,24,96,P 2_1/c,81,1,0,2.14643118094e-15,0,2.56506961203e-15
SUGRUK,ok,,108,27,27,108,P 2_1/c,81,1,0,1.84214783345e-15,0,1.58157931196e-15
TADCOU,ok,,76,19,19,76,P 2_1/c,81,1,0,2.33731163079e-15,0,1.36352531364e-15
TANTOX03,ok,,96,24,24,96,P 2_1/c,81,1,0,2.47949808833e-15,0,2.56568100099e-15
TAVMAH,ok,,46,23,23,46,P -1,2,0,0,2.78038461819e-15,0,1.63056235181e-15
TCCYHX10,ok,,144,18,18,144,C 2/c,90,1,0,3.40468394218e-15,0,2.47536300453e-15
TCHLBZ,ok,,48,12,12,48,P 2_12_12_1,115,3,1.62832710278e-15,1.7763568394e-15,0,0
TCYCPR01,ok,,52,13,13,52,P 2_12_12_1,115,3,1.6397140056e-15,1.7080354225e-15,0,0
TCYETY,ok,,20,10,5,20,P 2_1/c,81,1,1.95399252334e-15,2.84217094304e-15,0,1.55431223448e-15
TCYETY01,ok,,60,10,3,60,I m-3,500,11,1.95399252334e-15,3.01980662698e-15,0,9.86076131526e-32
TECFIQ,ok,,36,18,18,36,P 2_1,6,1,0,1.7763568394e-15,0,8.87845352793e-16
TELPIJ,ok,,44,11,10,44,P nma,292,3,1.614869854e-16,1.614869854e-15,0,0
TELXAJ,ok,,96,12,6,96,F dd2,212,3,1.92438657602e-15,2.6645352591e-15,0,0
TETDAM03,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
THBZPS10,ok,,96,24,24,96,P 2_1/c,81,1,0,1.96139401017e-15,0,7.79487585589e-16
THIANT05,ok,,88,22,22,88,P 2_1/c,81,1,0,2.422304781e-15,0,3.1809888057e-15
THIEPO10,ok,,60,15,15,60,P 2_1/c,81,1,0,1.71714494475e-15,0,7.53619389116e-16
THPYDO,ok,,56,14,14,56,P 2_1/c,81,1,0,1.45915026094e-15,0,7.30526750203e-16
THTOXB,ok,,24,12,6,24,P 2_1/c,81,1,1.48029736617e-15,2.36847578587e-15,0,6.45250519682e-16
THTOXC,ok,,12,12,6,12,P -1,2,0,0,2.51650552248e-15,0,1.42952316651e-15
TOPTEZ,ok,,92,23,23,92,P 2_1/c,81,1,0,2.04667201061e-15,0,8.76365646718e-16
TOVDIU,ok,,232,29,29,232,P bca,290,3,1.22507368235e-15,1.83761052352e-15,0,0
TOXANO,ok,,96,24,24,96,P ca2_1,143,3,1.70234197109e-15,1.85037170771e-15,0,0
TOXDTH12,ok,,24,12,6,24,P 2_1/c,81,1,1.33226762955e-15,2.07241631263e-15,0,6.1362026571e-16
TOXOCN,ok,,64,16,8,64,C 2/c,90,1,1.66533453694e-15,2.33146835171e-15,0,2.71604960744e-15
TPENAC02,ok,,48,12,12,48,P 2_1/c,81,1,0,1.70234197109e-15,0,7.90756349289e-17
TRAZOL03,ok,,64,8,8,64,P bca,290,3,1.44328993201e-15,1.66533453694e-15,0,0
TRIPHE13,ok,,120,30,30,120,P 2_12_12_1,115,3,9.47390314347e-16,1.50990331349e-15,0,0
TRITAN03,ok,,48,12,8,48,P nma,292,3,1.7763568394e-15,1.92438657602e-15,0,0
TRIZIN01,ok,,54,9,3,54,R -3c,460,5,8.54222550473e-08,2.07241631263e-15,6.01475857347e-08,0
TROXAN,ok,,72,12,4,72,R 3c,452,5,4.47872237075e-08,1.7763568394e-15,6.03566832263e-08,0
UDUXEY,ok,,48,12,12,48,P 2_1/c,81,1,0,2.59052039079e-15,0,1.15139345687e-15
UKUNAR,ok,,112,28,28,112,P 2_1/c,81,1,0,1.80807749725e-15,0,1.26587629268e-15
UMIQEO,ok,,32,16,16,32,P -1,2,0,0,4.71844785466e-16,0,3.88056253797e-16
USUMOL,ok,,68,17,17,68,P 2_1/c,81,1,0,1.7763568394e-15,0,9.43467526326e-16
UTODOX,ok,,80,20,20,80,P 2_1/c,81,1,0,1.90958360236e-15,0,5.02331509722e-16
VAFFUF,ok,,104,26,26,104,P ca2_1,143,3,0,1.7763568394e-15,0,0
VALVAG,ok,,80,20,20,80,P 2_1/c,81,1,1.68753899743e-15,2.13162820728e-15,0,1.12354570092e-15
VAZGIM,ok,,28,14,12,28,P 2_1/m,60,1,2.53765262771e-16,2.15700473356e-15,0,2.40264113964e-15
VEHCET,ok,,72,18,18,72,P 2_1/c,81,1,0,2.29446091756e-15,0,2.46884734878e-15
VEPXOG,ok,,52,13,13,52,P 2_1/c,81,1,0,2.049642507e-15,0,6.77757849843e-16
VINSAN,ok,,64,16,9,64,C 2/c,90,1,1.22124532709e-15,2.55351295664e-15,0,2.68152685137e-15
VINWUM,ok,,64,16,16,64,P 2_1/c,81,1,0,1.72084568817e-15,0,1.07902575763e-15
VINXAT,ok,,76,19,19,76,P 2_1/c,81,1,0,2.0568342351e-15,0,7.61180007913e-16
VINXEX,ok,,38,19,19,38,P -1,2,0,0,2.24381916556e-15,0,1.52373669238e-15
VORKUJ,ok,,36,18,18,36,P -1,2,0,0,2.6645352591e-15,0,1.6547412733e-15
VUCJAH,ok,,92,23,23,92,P 2_1/c,81,1,0,2.49076122046e-15,0,1.75337246883e-15
VUTWAL,ok,,84,21,21,84,P 2_1/c,81,1,0,2.32618157541e-15,0,2.09154951092e-15
WERNUF01,ok,,68,17,17,68,P 2_12_12_1,115,3,1.41063631364e-15,1.88084841819e-15,0,0
WESBEB,ok,,76,19,19,76,P 2_1/c,81,1,0,1.91659553725e-15,0,2.33807417871e-16
WESBEB01,ok,,76,19,19,76,P 2_1/c,81,1,0,2.47755032864e-15,0,1.34025626923e-15
WIXKOF,ok,,60,15,15,60,P 2_1/c,81,1,0,2.36847578587e-15,0,3.03996827711e-15
WOPCEM,ok,,72,18,18,72,P 2_1/c,81,1,0,1.72701359386e-15,0,8.77978245661e-17
WULPEZ,ok,,100,25,25,100,P 2_1/c,81,1,0,2.16715534407e-15,0,1.33512090272e-15
WULPID,ok,,88,22,22,88,P 2_1/c,81,1,0,2.38193303465e-15,0,2.44667619498e-15
XAFVEH,ok,,64,16,16,64,P 2_1/c,81,1,0,2.05391259556e-15,0,1.37977919303e-15
XAGWIM,ok,,104,13,13,104,C 2/c,90,1,1.7080354225e-15,3.0744637605e-15,0,4.11079300954e-15
XAKPAC01,ok,,80,20,20,80,P 2_1/c,81,1,0,1.95399252334e-15,0,7.98783261757e-16
XAPCAS,ok,,18,9,9,18,P -1,2,0,0,2.26978929479e-15,0,6.74127420552e-16
XAXCOQ03,ok,,32,8,8,32,P 2_1/c,81,1,0,1.7763568394e-15,0,2.93182145228e-16
XEZHAM,ok,,176,22,22,176,P bca,290,3,1.81672858575e-15,2.05895906385e-15,0,0
XEZHEQ,ok,,176,22,22,176,C 2/c,90,1,0,1.8571003321e-15,0,7.85618792243e-16
XOGJEK,ok,,60,15,15,60,P 2_1/c,81,1,0,1.53950926081e-15,0,6.49924558616e-16
XOPSED,ok,,144,18,18,144,P bca,290,3,1.72701359386e-15,1.87504333048e-15,0,0
XORSIJ,ok,,264,33,33,264,P bca,290,3,1.50721186373e-15,1.91092932723e-15,0,0
XOYDIB,ok,,88,22,22,88,P 2_1/c,81,1,0,2.03877319068e-15,0,3.15053538813e-16
XOYJED,ok,,140,35,35,140,P 2_12_12_1,115,3,1.57334462918e-15,1.92861599706e-15,0,0
XOZFOK,ok,,104,26,26,104,P 2_12_12_1,115,3,9.9066054505e-16,1.5030711718e-15,0,0
XOZNIM,ok,,172,43,43,172,P 2_1/c,81,1,0,2.58191401076e-15,0,2.12445616654e-15
XUCKEN,ok,,80,20,20,80,P 2_1/c,81,1,0,1.90958360236e-15,0,3.90645849002e-16
XUMBIT,ok,,66,33,33,66,P 2_1,6,1,0,2.46267652735e-15,0,2.09277040142e-15
XUMCIU,ok,,60,30,30,60,P 2_1,6,1,0,1.33226762955e-15,0,0
XUPPEE,ok,,38,19,19,38,P -1,2,0,0,2.61778902648e-15,0,2.83198762241e-15
YAFHUI,ok,,72,18,18,72,P 2_1/c,81,1,0,2.02307306709e-15,0,2.04142258653e-16
YELLIN,ok,,38,19,19,38,P -1,2,0,0,1.63611814155e-15,0,1.2883472067e-15
YICFEX,ok,,120,15,15,120,P bca,290,3,0,1.83556873405e-15,0,0
YICFEX01,ok,,60,15,15,60,P 2_1/c,81,1,0,1.7763568394e-15,0,9.70334923522e-16
YIFGAW,ok,,28,14,14,28,P -1,2,0,0,1.90323947079e-15,0,1.45089751785e-15
YINTUK,ok,,104,52,52,104,P 2_1,6,1,0,1.73365595384e-15,0,1.62980740015e-15
YIQBIK,ok,,76,19,19,76,P 2_1/c,81,1,0,1.91659553725e-15,0,3.74263120495e-16
YOTTOT,ok,,104,26,26,104,P 2_12_12_1,115,3,0,1.67387471405e-15,0,0
ZAPGII,ok,,120,15,15,120,C 2/c,90,1,1.59872115546e-15,1.95399252334e-15,0,5.10175235391e-16
ZAQFAB,ok,,72,18,18,72,P na2_1,164,3,0,2.26978929479e-15,0,0
ZEFPUX,ok,,60,15,15,60,P 2_12_12_1,115,3,9.47390314347e-16,1.24344978758e-15,0,0
ZOBKAC,ok,,84,21,21,84,P 2_1/c,81,1,0,2.62224104864e-15,0,1.98433240385e-15
ZUCMUI,ok,,108,27,27,108,P 2_12_12_1,115,3,1.18423789293e-15,1.52964061171e-15,0,0
ZUCNAP,ok,,60,30,30,60,P -1,2,0,0,2.75335310107e-15,0,1.99034460999e-15
ZUJRII,ok,,92,23,23,92,P 2_1/c,81,1,0,1.62189102728e-15,0,1.51466339471e-16
ZUJSIJ,ok,,38,19,19,38,P -1,2,0,0,2.52429656125e-15,0,1.73690481225e-15
ZUJWEJ,ok,,264,33,33,264,C 2/c,90,1,1.80327133697e-15,3.9564311423e-15,0,3.98215132506e-15
ZUNMOM,ok,,48,24,24,48,P c,21,1,0,1.97989772725e-15,0,2.34173791469e-16
ZZZBLP02,ok,,96,24,24,96,P 2_1/c,81,1,0,1.99840144433e-15,0,1.31887556432e-16
ZZZBLP03,ok,,96,24,24,96,P na2_1,164,3,0,1.99840144433e-15,0,4.93038065763e-32
ZZZDQA01,ok,,36,18,18,36,P -1,2,0,0,2.12175955817e-15,0,8.29857630365e-16
ZZZKPE03,ok,,160,20,20,160,P bca,290,3,1.68753899743e-15,1.73194791842e-15,0,0
ZZZLWW03,ok,,64,16,16,64,P 2_1/c,81,1,0,1.55431223448e-15,0,4.35656510867e-16
