refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
AQOTUY,ok,,64,16,16,64,P 2_12_12_1,115,3,9.43689570931e-16,1.66533453694e-15,0,0
AQOZUB01,ok,,36,18,18,36,P -1,2,0,0,2.73855012741e-15,0,1.63360436289e-15
AQUSEM,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
ARIDUB,ok,,80,20,20,80,P 2_12_12_1,115,3,0,1.82076576039e-15,0,0
ASATET,ok,,64,16,16,64,P 2_12_12_1,115,3,9.43689570931e-16,1.66533453694e-15,0,0
ASIBOT,ok,,108,27,27,108,P 2_1/c,81,1,0,1.61187935427e-15,0,4.39981384659e-16
ASOPAB,ok,,58,29,29,58,P -1,2,0,0,2.57265473292e-15,0,2.28229353296e-15
ASUKAB,ok,,92,23,23,92,P 2_1/c,81,1,0,2.12390491667e-15,0,2.54305142328e-15
ASUWAN,ok,,64,16,16,64,P 2_1/c,81,1,0,2.10942374679e-15,0,2.47690756794e-15
ATCPEN,ok,,56,14,14,56,P 2_1/c,81,1,0,1.80807749725e-15,0,1.40586431385e-15
ATCPEN01,ok,,28,14,14,28,P 2_1,6,1,0,1.45915026094e-15,0,2.93148838537e-16
ATDZDX,ok,,56,14,14,56,P 2_1/c,81,1,0,2.09356341786e-15,0,1.75914838252e-15
ATOMAZ,ok,,60,60,30,60,P -1,2,0,0,2.62012633812e-15,0,1.73547944836e-15
ATTDAZ02,ok,,40,10,10,40,P 2_1/c,81,1,0,2.22044604925e-15,0,4.63629135083e-16
AVABII,ok,,100,25,25,100,P 2_1/c,81,1,1.31450406116e-15,1.4921397451e-15,0,5.39152056334e-16
AVIJEW,ok,,46,23,23,46,P 2_1,6,1,0,2.1625213697e-15,0,1.72384329034e-15
AWACAE,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
AWOBIZ,ok,,52,13,13,52,P 2_12_12_1,115,3,1.7080354225e-15,1.9813210901e-15,0,0
AWODIB,ok,,100,25,25,100,P 2_1/c,81,1,0,1.63424829225e-15,0,5.8025806382e-16
