refcode,output
PURINE,PURINE.cif
PYRAZI01,PYRAZI01.cif
PYRDNA07,PYRDNA07.cif
PYRENE03,PYRENE03.cif
QEKXOT,QEKXOT.cif
QEKXUZ,QEKXUZ.cif
QEKYAG,QEKYAG.cif
QEKYEK,QEKYEK.cif
QIBRAU,QIBRAU.cif
QICVAZ01,QICVAZ01.cif
QOFGAV,QOFGAV.cif
QORPAR,QORPAR.cif
QOTDEL,QOTDEL.cif
QUCGAZ,QUCGAZ.cif
QUZTAH,QUZTAH.cif
RAGPEX,RAGPEX.cif
RAGPEX01,RAGPEX01.cif
RAGQIC,RAGQIC.cif
REZBIJ,REZBIJ.cif
REZDUY,REZDUY.cif
RIQKAE,RIQKAE.cif
RIVDOQ,RIVDOQ.cif
RONVAR01,RONVAR01.cif
RONVEV,RONVEV.cif
SAFGIP,SAFGIP.cif
SALMID04,SALMID04.cif
SALMID07,SALMID07.cif
SAZZUO,SAZZUO.cif
SEPNUX,SEPNUX.cif
SOBPAB,SOBPAB.cif
SUCACB03,SUCACB03.cif
SUCANH12,SUCANH12.cif
SUDYOI,SUDYOI.cif
SUFKUC,SUFKUC.cif
SUGRUK,SUGRUK.cif
TADCOU,TADCOU.cif
TANTOX03,TANTOX03.cif
TAVMAH,TAVMAH.cif
TCCYHX10,TCCYHX10.cif
TCHLBZ,TCHLBZ.cif
TCYCPR01,TCYCPR01.cif
TCYETY,TCYETY.cif
TCYETY01,TCYETY01.cif
TECFIQ,TECFIQ.cif
TELPIJ,TELPIJ.cif
TELXAJ,TELXAJ.cif
TETDAM03,TETDAM03.cif
THBZPS10,THBZPS10.cif
THIANT05,THIANT05.cif
THIEPO10,THIEPO10.cif
THPYDO,THPYDO.cif
THTOXB,THTOXB.cif
THTOXC,THTOXC.cif
TOPTEZ,TOPTEZ.cif
TOVDIU,TOVDIU.cif
TOXANO,TOXANO.cif
TOXDTH12,TOXDTH12.cif
TOXOCN,TOXOCN.cif
TPENAC02,TPENAC02.cif
TRAZOL03,TRAZOL03.cif
TRIPHE13,TRIPHE13.cif
TRITAN03,TRITAN03.cif
TRIZIN01,TRIZIN01.cif
TROXAN,TROXAN.cif
